poi_id,poi_name,poi_type,address,lat,lng,description,vs_title,vs_addr,vs_tel,vs_lat,vs_lng,vs_content_id,vs_content_type,vs_firstimage,step2_status,step2_match_type,vs_admission_fee,vs_use_time,vs_holiday,vs_homepage,vs_foreign_languages,step2_detail_status,vs_matched,vs_admission_fee_text,vs_admission_fee_value,vs_admission_fee_free,vs_phone
POI_6a38291967,Deokhongjeon (덕홍전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_a07169c796,Hamnyeongjeon (함녕전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_3e5a259453,Jeonggwanheon (정관헌),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_d9c9907039,Jeukjodang Hall (즉조당),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_cc78ca8b73,Junmyeongdang (준명당),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_347c7c8b05,Seokjojeon Hall (석조전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,02-2022-0600
POI_6a3c10042c,Jungmyeonjeon Hall (중명전),history,,,,,중명전,서울특별시 중구 정동길 41-11 (정동),,37.5667846662,126.9725521115,1017547.0,12.0,http://tong.visitkorea.or.kr/cms/resource/97/3578397_image2_1.jpg,success,exact_kor,,09:30~17:30 (입장 마감 17:00),매주 월요일,https://royal.khs.go.kr/ROYAL,['en'],success,True,,,,
POI_3e46054323,Hwangudan Altar (환구단),history,,,,,,,,37.5650657,126.9796883,,,,not_found,,,월요일: 오전 9:00 ~ 오후 9:00 | 화요일: 오전 9:00 ~ 오후 9:00 | 수요일: 오전 9:00 ~ 오후 9:00 | 목요일: 오전 9:00 ~ 오후 9:00 | 금요일: 오전 9:00 ~ 오후 9:00 | 토요일: 오전 9:00 ~ 오후 9:00 | 일요일: 오전 9:00 ~ 오후 9:00,,http://korean.visitseoul.net/attractions/%ED%99%98%EA%B5%AC%EB%8B%A8%EC%9B%90%EA%B5%AC%EB%8B%A8_/4198,['en'],,False,,,,1600-0064
POI_a9eea5da69,Hamabi (하마비),history,,,,,,,,37.5763517,126.9736717,,,,not_found,,,,,,['en'],,False,,,,
POI_7add289099,Gwanghwamun Square (광화문광장),tourist_spot,,,,,광화문광장,서울특별시 종로구 세종대로 172,,37.5727035021,126.9769709861,775394.0,12.0,http://tong.visitkorea.or.kr/cms/resource/84/3589184_image2_1.jpg,success,exact_kor,,상시 개방,연중무휴,https://gwanghwamun.seoul.go.kr/main.do,,success,True,,,,02-2133-7732
POI_4149c571c5,Sejong-daero Forest Road (세종대로 숲길),street,,,,,,,,37.5697416,126.9770094,,,,not_found,short_kor,,,,https://mediahub.seoul.go.kr/archives/2000340,,,False,,,,
POI_93dedd39c8,Seoul Plaza (서울광장),park,,,,,서울광장 스케이트장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,,37.5655015943,126.9787960237,663785.0,28.0,http://tong.visitkorea.or.kr/cms/resource/00/3043800_image2_1.jpg,success,exact_kor,,,,https://seoulskate.kr,,no_intro,True,,,,
POI_f543e386ef,Starting Point of Mile Posts (도로원표),tourist_spot,,,,,,,,37.568809,126.9766902,,,,not_found,short_kor,,,,,,,False,,,,
POI_b3e4c9c32d,Seoul Metropolitan Council (서울특별시의회),tourist_spot,,,,,,,,37.56747379999999,126.9768269,,,,not_found,short_kor,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 휴무일 | 일요일: 휴무일,,https://www.smc.seoul.kr/,,,False,,,,02-2180-8000
POI_4a89f365a5,The 40th Anniversary Monument of Gojong’s Enthronement (고종황제 즉위 40주년 칭경예식 기념비),history,,,,,,,,37.5704914,126.9775424,,,,not_found,,,월요일: 24시간 영업 | 화요일: 24시간 영업 | 수요일: 24시간 영업 | 목요일: 24시간 영업 | 금요일: 24시간 영업 | 토요일: 24시간 영업 | 일요일: 24시간 영업,,http://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1331101710000,['en'],,False,,,,02-2148-1800
POI_7ef95e828a,Yangcheon Hyanggyo (양천향교),history,,,,,,,,37.5729567,126.8398344,,,,not_found,short_kor,,월요일: 오전 10:00 ~ 오후 4:00 | 화요일: 오전 10:00 ~ 오후 4:00 | 수요일: 오전 10:00 ~ 오후 4:00 | 목요일: 오전 10:00 ~ 오후 4:00 | 금요일: 오전 10:00 ~ 오후 4:00 | 토요일: 오전 10:00 ~ 오후 4:00 | 일요일: 오전 10:00 ~ 오후 4:00,,https://hyanggyo.net/,,,False,,,,02-2659-0076
POI_504bc01a8d,Gyeomjae Jeongseon Memorial Museum (겸재정선미술관),museum,,,,,,,,37.5722129,126.8384499,,,,not_found,,,월요일: 휴무일 | 화요일: 오전 10:00 ~ 오후 6:00 | 수요일: 오전 10:00 ~ 오후 6:00 | 목요일: 오전 10:00 ~ 오후 6:00 | 금요일: 오전 10:00 ~ 오후 6:00 | 토요일: 오전 10:00 ~ 오후 6:00 | 일요일: 오전 10:00 ~ 오후 6:00,,https://culture.gangseo.seoul.kr/gsfc/main/contents.do?menuNo=800054,['en'],,False,,,,02-2659-2206
POI_df7647eae4,Gungsan Trail (궁산둘레길),street,,,,,,,,37.5741667,126.8394444,,,,not_found,,,월요일: 24시간 영업 | 화요일: 24시간 영업 | 수요일: 24시간 영업 | 목요일: 24시간 영업 | 금요일: 24시간 영업 | 토요일: 24시간 영업 | 일요일: 24시간 영업,,,,,False,,,,02-2600-4185
POI_04f662004c,Soangnu Pavilion (소악루),tourist_spot,,,,,,,,37.5743182,126.8413002,,,,not_found,,,,,,,,False,,,,
POI_5c8c587637,Gwanghwamun (Main and South Gate) (광화문),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_3bdabdcd9e,Heungnyemun (Second Inner Gate) (흥례문),tourist_spot,,,,,,,,37.5770134,126.9769281,,,,not_found,short_kor,,월요일: 오전 9:00 ~ 오후 5:00 | 화요일: 휴무일 | 수요일: 오전 9:00 ~ 오후 5:00 | 목요일: 오전 9:00 ~ 오후 5:00 | 금요일: 오전 9:00 ~ 오후 5:00 | 토요일: 오전 9:00 ~ 오후 5:00 | 일요일: 오전 9:00 ~ 오후 5:00,,https://royal.cha.go.kr/gbg,,,False,,,,02-3700-3904
POI_4c40868158,Geunjeongmun (Third Inner Gate) (근정문),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_8998de350d,Geunjeongjeon (Imperial Throne Hall) (근정전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_1144d0758c,Sajeongjeon (Executive Office) (사정전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_c33b244bf5,Gyeonghoeru (Royal Banquet Pavilion) (경회루),tourist_spot,,,,,,,,37.5797094,126.9759903,,,,not_found,short_kor,,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1111102240000,,,False,,,,
POI_3f5af2891a,Gangnyeongjeon (King's Quarters) (강녕전),history,,,,,,,,37.5795903,126.9770776,,,,not_found,short_kor,,월요일: 오전 6:00 ~ 오전 12:00 | 화요일: 오전 6:00 ~ 오전 12:00 | 수요일: 오전 6:00 ~ 오전 12:00 | 목요일: 오전 6:00 ~ 오전 12:00 | 금요일: 오전 6:00 ~ 오전 12:00 | 토요일: 오전 6:00 ~ 오전 12:00 | 일요일: 오전 6:00 ~ 오전 12:00,,http://www.royalpalace.go.kr/,,,False,,,,017-7032-9212
POI_009f2c908e,Gyotaejeon (Queen's Quarters) (교태전),history,,,,,,,,37.5799734,126.9771075,,,,not_found,short_kor,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 오전 9:00 ~ 오후 6:00 | 일요일: 오전 9:00 ~ 오후 6:00,,https://www.royalpalace.go.kr/,,,False,,,,02-3700-3900
POI_5d65f68f65,Jagyeongjeon (Late Queen's Quarters) (자경전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_5b01ebfb66,Hyangwonjeong (Hyangwonjeong Pavilion) (향원정),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,02-3700-3900
POI_4542392702,Dongsipjagak (동십자각),history,,,,,동십자각,서울특별시 종로구 삼청로 1,,37.576133703,126.9794373301,1603677.0,12.0,,success,exact_kor,,상시 개방,연중무휴,,['en'],success,True,,,,02-3700-3900
POI_9163f5b1d7,"National Museum of Modern and Contemporary Art, Seoul (국립현대미술관 서울)",museum,,,,,국립현대미술관 서울,서울특별시 종로구 삼청로 30 (소격동),,37.5786500878,126.9800038741,1934593.0,14.0,http://tong.visitkorea.or.kr/cms/resource/02/2991502_image2_1.jpg,success,exact_kor,상설전시 무료입장<br>* 기획전시는 홈페이지참고,월요일: 오전 10:00 ~ 오후 6:00 | 화요일: 오전 10:00 ~ 오후 6:00 | 수요일: 오전 10:00 ~ 오후 9:00 | 목요일: 오전 10:00 ~ 오후 6:00 | 금요일: 오전 10:00 ~ 오후 6:00 | 토요일: 오전 10:00 ~ 오후 9:00 | 일요일: 오전 10:00 ~ 오후 6:00,,http://www.mmca.go.kr,['en'],success,True,상설전시 무료입장<br>* 기획전시는 홈페이지참고,0.0,True,02-3701-9500
POI_f034158bda,Jongchinbu Government Office (종친부),history,,,,,,,,37.5785814,126.9813503,,,,not_found,,,,,,['en'],,False,,,,
POI_9ede4a2933,Cheong Wa Dae (청와대),tourist_spot,,,,,청와대 앞 코스 돌아보기,,,37.5756364926,126.9768570246,1952971.0,25.0,http://tong.visitkorea.or.kr/cms/resource/55/1568155_image2_1.jpg,success,exact_kor,,,,https://www.president.go.kr/,,success,True,,,,
POI_a2e90b600c,Seonnongdan Altar (선농단),history,,,,,,,,37.5810123,127.0319892,,,,not_found,,,월요일: 휴무일 | 화요일: 오전 10:00 ~ 오후 5:00 | 수요일: 오전 10:00 ~ 오후 5:00 | 목요일: 오전 10:00 ~ 오후 5:00 | 금요일: 오전 10:00 ~ 오후 5:00 | 토요일: 오전 10:00 ~ 오후 5:00 | 일요일: 오전 10:00 ~ 오후 5:00,,,['en'],,False,,,,02-3295-5560
POI_02a9dbe7e6,Seonnongdan History & Culture Museum (선농단역사문화관),museum,,,,,,,,37.5810123,127.0319892,,,,not_found,,,월요일: 휴무일 | 화요일: 오전 10:00 ~ 오후 5:00 | 수요일: 오전 10:00 ~ 오후 5:00 | 목요일: 오전 10:00 ~ 오후 5:00 | 금요일: 오전 10:00 ~ 오후 5:00 | 토요일: 오전 10:00 ~ 오후 5:00 | 일요일: 오전 10:00 ~ 오후 5:00,,,['en'],,False,,,,02-3295-5560
POI_3a62b17498,Seoul Yangnyeongsi Market (서울약령시장),shopping,,,,,,,,37.57905969999999,127.0370361,,,,not_found,short_kor,,월요일: 오전 8:00 ~ 오후 7:00 | 화요일: 오전 8:00 ~ 오후 7:00 | 수요일: 오전 8:00 ~ 오후 7:00 | 목요일: 오전 8:00 ~ 오후 7:00 | 금요일: 오전 8:00 ~ 오후 7:00 | 토요일: 오전 8:00 ~ 오후 7:00 | 일요일: 오전 8:00 ~ 오후 7:00,,https://www.seoulyak.com/,,,False,,,,02-969-4793
POI_6af0dfdc5a,Seoul K-Medi Center (서울한방진흥센터),tourist_spot,,,,,,,,37.5805121,127.0371533,,,,not_found,short_kor,,월요일: 오전 10:00 ~ 오후 6:00 | 화요일: 오전 10:00 ~ 오후 6:00 | 수요일: 오전 10:00 ~ 오후 6:00 | 목요일: 오전 10:00 ~ 오후 6:00 | 금요일: 오전 10:00 ~ 오후 6:00 | 토요일: 오전 10:00 ~ 오후 6:00 | 일요일: 오전 10:00 ~ 오후 6:00,,http://kmedi.ddm.go.kr/,,,False,,,,02-969-9241
POI_7a75bac481,Gyeongdong Market (경동시장),shopping,,,,,,,,37.57973,127.03854,,,,not_found,short_kor,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 오전 9:00 ~ 오후 6:00 | 일요일: 오전 9:00 ~ 오후 6:00,,,,,False,,,,02-967-8721
